title,url,location,latitude,longitude
Stitch Fix,/boards/vc/consider/jobs/stitch-fix?locations=United+States&skills=Machine+Learning,"Remote, USA",37.09024,-95.712891
Zoox,/boards/vc/consider/jobs/zoox?locations=United+States&skills=Machine+Learning,"Foster City, CA",37.5585465,-122.2710788
S&P Global,/boards/vc/consider/jobs/sp-global?locations=United+States&skills=Machine+Learning,"New York, NY · Virtual, MD · Virtual, LA · Virtual, KY · Virtual, KS · Virtual, IN · Virtual, IL · Virtual, ID · VIRTUAL,  AK , US · Virtual, IA · Virtual, GA · Virtual, FL · Virtual, MS · Virtual, DE · Virtual, DC · Virtual, MO · Virtual, CT · Virtual, CO · Virtual, AR · Virtual, CA · Virtual, AZ · Virtual, AL · Virtual, UT · Virtual, TN · Virtual, PA · Virtual, OH · Virtual, MA · Virtual, Canada · Virtual, WY · Virtual, WV · Virtual, WI · Virtual, WA · Virtual, VT · Virtual, VA · Virtual, TX · Virtual, SD · Virtual, SC · Virtual, RI · Virtual, OR · Virtual, OK · Virtual, NY · Virtual, NV · Virtual, NM · Virtual, NH · Virtual, NJ · Virtual, NE · Virtual, ND · Virtual, NC · Virtual, MT · Virtual, MN · Virtual, MI · Virtual, ME",40.7127753,-74.0059728
Netflix,/boards/vc/consider/jobs/netflix?locations=United+States&skills=Machine+Learning,"Los Gatos, California",37.2358078,-121.9623751
Meeno,/boards/vc/consider/jobs/amorai?locations=United+States&skills=Machine+Learning,San Francisco Bay Area,37.7749295,-122.4194155
LeoLabs,/boards/vc/consider/jobs/leolabs?locations=United+States&skills=Machine+Learning,United States,37.09024,-95.712891
World Wide Technology,/boards/vc/consider/jobs/world-wide-technology?locations=United+States&skills=Machine+Learning,"Jacksonville, FL, US",30.3321838,-81.65565099999999
Recursion Pharmaceuticals,/boards/vc/consider/jobs/recursion-pharmaceuticals?locations=United+States&skills=Machine+Learning,"Salt Lake City, Utah, United States",40.7607793,-111.8910474
Planet,/boards/vc/consider/jobs/planet?locations=United+States&skills=Machine+Learning,"United States, Remote",37.09024,-95.712891
GuidePoint,/boards/vc/consider/jobs/guidepoint?locations=United+States&skills=Machine+Learning,"New York, New York, United States",40.7127753,-74.0059728
Stitch Fix,/boards/vc/consider/jobs/stitch-fix?locations=United+States&skills=Machine+Learning,"Remote, USA",37.09024,-95.712891
Zoox,/boards/vc/consider/jobs/zoox?locations=United+States&skills=Machine+Learning,"Foster City, CA",37.5585465,-122.2710788
